arm_name,batch_size,learning_rate,weight_decay,num_embedder_layer,embedder_hidden_channels,num_predictor_layer,predictor_hidden_channels,predictor_dropout,epoch,mae,r,rho,rmse,train_loss,valid_loss
40_0,32,3.33,4.44,5,180,2,686,0.0,279.0,28.0239540671,0.9476158474,0.9424917664,50.7298154049,28.7966120581,27.5119336355
46_0,32,3.4,4.05,5,182,2,544,0.0,300.0,28.2659757411,0.9454034042,0.9382441248000001,51.7224048005,28.605190633,27.533489844800002
55_0,32,3.41,4.04,5,195,3,655,0.0,293.0,28.5131252867,0.9459953122,0.9400032692,51.7102172961,27.704489142,27.3699520064
54_0,32,3.36,4.06,5,204,3,534,0.0,227.0,28.6125110486,0.9463472458000001,0.941370141,51.2893411527,28.3933678819,27.7582655735
50_0,64,3.37,4.07,5,191,3,594,0.0,258.0,28.7993525677,0.9467906507,0.9457121087,53.3036673499,28.2941179119,27.9196801107
42_0,32,3.42,4.0,5,196,2,557,0.0,265.0,28.905128565,0.9458382971,0.9409329897,52.0274150098,28.9762204242,27.6367823179
47_0,32,3.48,3.61,5,174,2,550,0.0,300.0,28.919747423,0.9441112165000001,0.9377186980000001,51.7667113679,29.9155272267,27.9999924097
29_0,64,3.22,3.68,5,179,2,561,0.0,268.0,28.9567180696,0.9451282912000001,0.9428788142000001,54.5437085355,30.0780557029,28.4550021594
45_0,32,3.61,3.94,5,201,3,501,0.0,260.0,29.0546252454,0.9460907890000001,0.9404625731,52.0640538403,28.1278238512,28.0402917002
53_0,64,3.46,3.51,4,192,3,631,0.0,298.0,29.0765663679,0.943414061,0.9416495805,54.5884570606,28.1446812226,28.3165936392
49_0,64,3.38,3.9,4,182,3,588,0.0,300.0,29.1527097108,0.9467812562000001,0.9452712718,53.8672774268,28.2366235095,28.1186352949
44_0,32,3.4,3.87,5,168,3,577,0.0,206.0,29.2118560213,0.9445204173,0.9382945144,51.9082773787,29.6659526482,28.3821378966
10_0,32,3.48,4.89,4,255,3,541,0.01,220.0,29.4592507081,0.9440235291,0.9401261979000001,52.0632941606,35.9982597098,28.4710224691
57_0,32,3.33,3.78,5,206,3,569,0.0,248.0,29.4740893958,0.9464681314000001,0.9386901487,51.8951296415,28.1897254352,27.5086434708
36_0,64,3.39,3.78,4,181,3,813,0.0,255.0,29.574433655,0.9435371455,0.9419770695,54.7424869068,28.6289651252,28.7331134452
52_0,64,3.38,4.09,5,198,3,674,0.0,233.0,29.5946025536,0.9443471044,0.9437501070000001,55.1149161136,28.4920935876,28.1578859032
34_0,64,3.68,3.93,5,176,2,638,0.0,300.0,29.8780700652,0.9431481051,0.9433766503000001,54.9663779931,31.6548208006,28.9980866323
33_0,32,3.25,3.53,4,189,3,620,0.0,215.0,29.895460066200002,0.9452307454000001,0.9408194648,53.1603309209,30.3329236498,28.7173461523
31_0,64,3.39,4.19,5,146,3,549,0.0,193.0,29.9008521565,0.9446252239,0.9422034373,55.1102604319,30.7562441092,29.135042769000002
30_0,32,3.42,3.63,5,145,2,731,0.0,282.0,30.0258020182,0.9447028557,0.9377085642,52.043556057,30.328557317,28.0441671708
28_0,32,3.61,3.47,4,196,3,404,0.0,222.0,30.0676137971,0.9441568289000001,0.9372312837000001,53.4078122358,30.247242322,28.8875160999
41_0,64,3.45,4.01,4,191,3,592,0.0,256.0,30.2311347899,0.9434824731,0.9418813615,55.4959831863,28.7543975763,28.8505630806
37_0,64,3.49,3.86,5,196,3,549,0.0,296.0,30.2723144469,0.9478201273,0.9458181391,54.2246319349,27.4258755159,28.0023794487
35_0,32,3.45,4.06,4,178,2,544,0.0,300.0,30.4612174425,0.9443170837,0.9381108994,52.7470721886,29.8070997139,28.1858630571
48_0,64,3.44,4.21,4,183,2,581,0.0,300.0,30.4965945385,0.9444326819000001,0.9429654894,55.0866800214,30.4515333401,28.6528805123
39_0,32,3.46,3.35,5,200,2,684,0.0,300.0,30.632959444,0.9440057548,0.9398168551,53.2203449109,29.8283200166,28.2952140003
38_0,32,3.59,3.99,4,175,3,635,0.0,263.0,30.946635043,0.9461509280000001,0.9407914012,52.8819673413,28.4095820078,28.1878454529
32_0,64,3.34,3.36,4,154,2,612,0.0,300.0,31.3481723441,0.9436278356000001,0.9427405397,56.3849494653,31.2724747746,29.2033899964
27_0,64,3.48,3.1,5,171,3,558,0.01,218.0,31.4859982475,0.9436020121,0.9420942861,55.2359749372,39.9248093677,29.3317056718
26_0,32,3.51,3.9,5,152,2,449,0.01,222.0,31.6933243548,0.9431886937,0.9394225032,53.6476182938,41.4026771204,29.2814150716
43_0,64,3.42,3.59,4,214,2,649,0.0,213.0,32.7611759686,0.9393001189,0.9382358123000001,57.2558860935,33.3383607531,30.8653808656
56_0,64,3.36,3.76,5,181,2,583,0.0,300.0,32.7702382823,0.9444227549,0.9417689508,56.0794663195,29.8363773554,28.3058291263
51_0,32,3.38,3.64,5,192,3,574,0.0,300.0,33.0200592025,0.9463113039000001,0.9399312695,53.5933770899,27.9262182575,27.442485696
16_0,64,3.57,4.39,4,195,3,562,0.02,210.0,33.1955148666,0.9429945807000001,0.9400699221000001,56.5351053144,48.0583255423,29.8607215412
20_0,32,3.67,5.11,4,208,3,397,0.02,205.0,34.7877361032,0.9442513333,0.9368681859,55.4828925836,51.6279603309,29.9725117371
21_0,64,3.53,4.87,4,225,2,453,0.02,144.0,35.2083599528,0.9384405563,0.9351089537,59.0943715924,53.9863127291,33.9699979376
25_0,32,3.59,4.04,4,201,2,651,0.02,165.0,37.4761197137,0.9425180476,0.9345066337000001,57.5304730603,50.203304468,31.6328242959
18_0,32,3.76,5.07,3,215,3,501,0.03,123.0,37.7406290867,0.9356951778,0.9280481333,59.5934653673,59.1207566604,35.280431466
22_0,64,3.51,5.81,4,219,3,583,0.02,134.0,38.8941736847,0.9413813625,0.9392431715,60.6831157872,50.3187138031,32.5414590679
24_0,32,3.45,4.17,5,205,3,628,0.02,160.0,39.1585440792,0.9444530972,0.9391542496,58.0515785686,49.8460301114,30.1019884016
19_0,64,3.83,4.46,4,240,3,665,0.02,172.0,41.0039743361,0.9380634510000001,0.9359041100000001,62.6433187078,53.7422453686,32.8419872659
17_0,32,3.35,4.01,4,167,3,563,0.02,108.0,42.3177241107,0.9441386392000001,0.9358191368000001,61.0784562533,55.4139394222,31.7998534187
13_0,32,3.01,3.28,5,146,3,623,0.04,99.0,43.266101759,0.9375185757000001,0.9309005369000001,63.2371288284,73.1524165387,33.5852589998
0_0,32,3.74,3.78,3,134,3,414,0.02,134.0,43.5613856628,0.9361418123,0.9279099390000001,63.3991437818,52.2175065291,35.1444105711
23_0,64,3.45,4.48,4,234,3,354,0.03,141.0,44.5922409433,0.9409354704,0.9400613376,65.1720796491,58.6059077555,33.174983478
12_0,64,3.92,3.19,4,227,3,1002,0.07,100.0,55.720562888,0.9324190170000001,0.9284102851,74.8657355699,98.1617254888,47.8755353083
3_0,128,3.86,5.34,4,254,3,500,0.05,133.0,59.7853137782,0.9354171408,0.9358233151,78.2816987585,79.0745264794,36.2742307069
11_0,128,3.53,4.63,4,134,3,530,0.06,81.0,67.7570234205,0.9295647814,0.9297360412000001,86.2226898944,90.6961116595,44.4097575829
9_0,64,3.42,5.59,4,163,2,563,0.08,76.0,74.8484687805,0.9300687459,0.9266699225,91.818524345,109.1655836634,53.1035571802
2_0,32,3.73,5.16,4,195,3,770,0.12,76.0,90.3634681076,0.9312708049,0.9260431988000001,104.792818601,136.7942461605,67.6397624094
14_0,64,3.28,3.45,4,211,3,829,0.14,76.0,110.168014839,0.9358858936000001,0.9333520011,122.8477110316,149.8667764605,85.3711994984
7_0,128,3.56,5.38,5,197,3,459,0.14,76.0,112.6079146588,0.9306855547,0.9295018699,126.2890876395,156.3399522065,88.0747834503
8_0,64,3.79,4.12,4,247,2,550,0.16,96.0,145.5744728964,0.9268659231,0.9222522531,158.0100619207,169.6557273669,108.2104833634
15_0,128,3.74,5.39,4,161,3,668,0.18,81.0,149.5980282143,0.9226714962,0.9225543863000001,162.2311526439,190.4683730891,108.9999882432
1_0,128,3.1,5.68,5,243,2,977,0.19,76.0,164.8093571897,0.9329901748,0.9324088098000001,175.0532636799,192.1616647709,117.1502194014
6_0,64,3.48,3.2,4,158,2,545,0.21,79.0,171.1349108336,0.9242838805,0.9225819189000001,182.4813430036,209.1412534616,149.6823687944
4_0,128,3.25,3.69,3,160,2,428,0.27,76.0,228.4606143138,0.9178809517000001,0.917117053,240.4969349846,262.561919414,175.9382039054
5_0,128,3.18,3.85,4,178,3,845,0.28,76.0,239.6386746266,0.9324922078000001,0.9331547737,250.8411477511,260.8764973666,154.6527749984
